x,museum_code,region,ecology,parameter,mean,phylo_names,evapo,aridity,SVL
1,MVZ172065,DA,terrestrial_leaflitter,Sp,15.905216,Adenomera_hylaedactyla,0.1218,2.4158,25.73
2,MVZ172065,DP,terrestrial_leaflitter,Sp,7.0705335,Adenomera_hylaedactyla,0.1218,2.4158,25.73
3,MVZ172065,VA,terrestrial_leaflitter,Sp,6.862770333,Adenomera_hylaedactyla,0.1218,2.4158,25.73
4,MVZ172065,VP,terrestrial_leaflitter,Sp,9.632786,Adenomera_hylaedactyla,0.1218,2.4158,25.73
5,MVZ173779,VA,terrestrial_leaflitter,Sp,7.119159367,Adenomera_hylaedactyla,0.1366,1.653,28.44
6,MVZ173779,DP,terrestrial_leaflitter,Sp,9.548466667,Adenomera_hylaedactyla,0.1366,1.653,28.44
7,MVZ173779,DA,terrestrial_leaflitter,Sp,5.158904,Adenomera_hylaedactyla,0.1366,1.653,28.44
8,MVZ173773,DP,terrestrial_leaflitter,Sp,8.807785333,Adenomera_hylaedactyla,0.1369,1.6441,27.18
9,MVZ173773,VA,terrestrial_leaflitter,Sp,4.274459433,Adenomera_hylaedactyla,0.1369,1.6441,27.18
10,MVZ173773,DA,terrestrial_leaflitter,Sp,7.761167333,Adenomera_hylaedactyla,0.1369,1.6441,27.18
11,MVZ172084,VP,terrestrial_leaflitter,Sp,6.313128833,Adenomera_hylaedactyla,0.1218,2.4158,25.57
12,MVZ172084,DP,terrestrial_leaflitter,Sp,10.93035567,Adenomera_hylaedactyla,0.1218,2.4158,25.57
13,MVZ172084,VA,terrestrial_leaflitter,Sp,4.811776633,Adenomera_hylaedactyla,0.1218,2.4158,25.57
14,MVZ173773,VP,terrestrial_leaflitter,Sp,5.8573971,Adenomera_hylaedactyla,0.1369,1.6441,27.18
15,MVZ173779,VP,terrestrial_leaflitter,Sp,9.194081,Adenomera_hylaedactyla,0.1366,1.653,28.44
16,MVZ172084,DA,terrestrial_leaflitter,Sp,4.7272507,Adenomera_hylaedactyla,0.1218,2.4158,25.57
17,MVZ172065,DA,terrestrial_leaflitter,Sq,NA,Adenomera_hylaedactyla,0.1218,2.4158,25.73
18,MVZ172065,DP,terrestrial_leaflitter,Sq,NA,Adenomera_hylaedactyla,0.1218,2.4158,25.73
19,MVZ173773,DP,terrestrial_leaflitter,Sq,2.06500753,Adenomera_hylaedactyla,0.1369,1.6441,27.18
20,MVZ173779,VA,terrestrial_leaflitter,Sq,1.607154844,Adenomera_hylaedactyla,0.1366,1.653,28.44
21,MVZ173779,DP,terrestrial_leaflitter,Sq,2.285372737,Adenomera_hylaedactyla,0.1366,1.653,28.44
22,MVZ172084,VA,terrestrial_leaflitter,Sq,1.236213631,Adenomera_hylaedactyla,0.1218,2.4158,25.57
23,MVZ172065,VP,terrestrial_leaflitter,Sq,1.794476988,Adenomera_hylaedactyla,0.1218,2.4158,25.73
24,MVZ173773,DA,terrestrial_leaflitter,Sq,1.66482895,Adenomera_hylaedactyla,0.1369,1.6441,27.18
25,MVZ172084,DP,terrestrial_leaflitter,Sq,1.867328141,Adenomera_hylaedactyla,0.1218,2.4158,25.57
26,MVZ172084,VP,terrestrial_leaflitter,Sq,0.998398242,Adenomera_hylaedactyla,0.1218,2.4158,25.57
27,MVZ173779,VP,terrestrial_leaflitter,Sq,1.532904249,Adenomera_hylaedactyla,0.1366,1.653,28.44
28,MVZ173773,VP,terrestrial_leaflitter,Sq,0.979961042,Adenomera_hylaedactyla,0.1369,1.6441,27.18
29,MVZ172065,VA,terrestrial_leaflitter,Sq,0.90242545,Adenomera_hylaedactyla,0.1218,2.4158,25.73
30,MVZ173779,DA,terrestrial_leaflitter,Sq,1.194806266,Adenomera_hylaedactyla,0.1366,1.653,28.44
31,MVZ172084,DA,terrestrial_leaflitter,Sq,0.774204424,Adenomera_hylaedactyla,0.1218,2.4158,25.57
