x,phylo_names,body_region,ecology,mean_roughness,mean_peak,sd_roughness,sd_peak
1,Adenomera_hylaedactyla,DA,terrestrial_leaflitter,1.21127988,8.388134508,0.33717809,3.767879995
2,Adenomera_hylaedactyla,DP,terrestrial_leaflitter,2.072569469,9.089285293,1.085595149,3.405240616
3,Adenomera_hylaedactyla,VA,terrestrial_leaflitter,1.097625489,5.767041442,0.655666368,2.562183567
4,Adenomera_hylaedactyla,VP,terrestrial_leaflitter,1.32643513,7.749348233,0.56982617,2.950145461
5,Adenomus_kelaartii,DA,terrestrial_torrent,7.471115449,39.24261767,1.676474759,10.95208033
6,Adenomus_kelaartii,DP,terrestrial_torrent,7.426397416,39.83699834,2.300190915,14.18268975
7,Adenomus_kelaartii,VA,terrestrial_torrent,8.454989468,37.61875834,0.856732965,7.773350148
8,Adenomus_kelaartii,VP,terrestrial_torrent,6.085107595,27.91961867,1.014477745,6.571179262
9,Afrixalus_dorsalis,DA,arboreal,2.55571537,16.33040525,1.25717509,4.586148321
10,Afrixalus_dorsalis,DP,arboreal,2.260867738,14.74423742,0.656701334,1.998532137
11,Afrixalus_dorsalis,VA,arboreal,3.650171444,14.2783305,1.095635331,3.619387169
12,Afrixalus_dorsalis,VP,arboreal,3.957673632,16.15401825,0.912781454,3.838951075
13,Agalychnis_callidryas,DA,arboreal,2.513738047,9.673397667,1.352037423,3.740889281
14,Agalychnis_callidryas,DP,arboreal,3.018212358,17.879608,1.931876761,14.45639562
15,Agalychnis_callidryas,VA,arboreal,6.823424814,21.50972133,3.513195999,9.014292782
16,Agalychnis_callidryas,VP,arboreal,6.767246733,20.72446633,3.332360678,7.880288734
17,Alsodes_gargola,DA,semiaquatic,2.270420317,9.160965,0.792305657,2.418661722
18,Alsodes_gargola,DP,semiaquatic,2.419807568,11.27388917,0.389028874,3.033877671
19,Alsodes_gargola,VA,semiaquatic,1.054917484,9.257911285,0.476450992,3.513505
20,Alsodes_gargola,VP,semiaquatic,1.417003441,9.4338755,0.14589672,1.688793821
21,Alsodes_vanzolinii,DA,terrestrial_leaflitter,0.95132866,7.60106515,0.430299922,4.975231032
22,Alsodes_vanzolinii,DP,terrestrial_leaflitter,0.893575401,6.4340315,0.360169943,2.22981849
23,Alsodes_vanzolinii,VA,terrestrial_leaflitter,0.952159528,5.9839229,0.360203814,2.313021054
24,Alsodes_vanzolinii,VP,terrestrial_leaflitter,0.938271406,4.4386583,0.147024585,0.925777243
25,Alsodes_verrucosus,DA,terrestrial_torrent,2.705601951,12.9975545,0.70030652,3.028954084
26,Alsodes_verrucosus,DP,terrestrial_torrent,3.060041634,13.84009167,1.543038324,5.237361862
27,Alsodes_verrucosus,VA,terrestrial_torrent,1.441058777,9.565741069,0.683539432,2.595401613
28,Alsodes_verrucosus,VP,terrestrial_torrent,1.757069998,10.950718,0.907770148,5.636346913
29,Alytes_obstetricans,DA,terrestrial_torrent,3.928313062,15.7642328,2.295543944,5.990035213
30,Alytes_obstetricans,DP,terrestrial_torrent,3.423619318,18.11234821,2.135844897,8.322404355
31,Alytes_obstetricans,VA,terrestrial_torrent,1.517573685,9.549316407,0.646946359,4.34805159
32,Alytes_obstetricans,VP,terrestrial_torrent,2.953142535,11.60431067,0.9434072,4.897495041
33,Ameerega_parvula,DA,terrestrial_torrent,5.583039868,21.98046275,2.475086062,6.580454241
34,Ameerega_parvula,DP,terrestrial_torrent,5.490360323,22.81599683,1.781052791,6.891439634
35,Ameerega_parvula,VA,terrestrial_torrent,2.43919663,13.20610958,1.129594691,9.128824817
36,Ameerega_parvula,VP,terrestrial_torrent,1.663455245,8.211300601,0.489739533,3.144930407
37,Amietia_angolensis,DA,terrestrial_torrent,3.28093976,17.39345969,2.144305555,6.892256956
38,Amietia_angolensis,DP,terrestrial_torrent,1.540442835,10.15922823,0.440327031,2.525619779
39,Amietia_angolensis,VA,terrestrial_torrent,0.882585523,6.347978056,0.118132356,2.222237554
40,Amietia_angolensis,VP,terrestrial_torrent,1.431863553,7.774989333,0.717472582,3.549525726
41,Amnirana_galamensis,DA,terrestrial_torrent,1.043862308,4.426188933,0.90607101,2.143449855
42,Amnirana_galamensis,DP,terrestrial_torrent,3.61125382,13.04563633,1.496121512,6.063058374
43,Amnirana_galamensis,VA,terrestrial_torrent,3.073284084,13.631469,0.830049284,3.383475056
44,Amnirana_galamensis,VP,terrestrial_torrent,2.401833984,10.579676,1.001819637,2.706814099
45,Amolops_hainanensis,DA,semiaquatic,1.928216231,10.09638833,0.539118584,1.371476083
46,Amolops_hainanensis,DP,semiaquatic,2.01978111,11.10837778,0.466499393,2.245159797
47,Amolops_hainanensis,VA,semiaquatic,1.741248714,10.12511655,0.840036396,3.009914963
48,Amolops_hainanensis,VP,semiaquatic,2.207457163,11.57323533,0.927666364,3.509246495
